net.liftweb.util.TimeHelpers - Service request (POST) /api/reset-games returned 200, took 244 Milliseconds
net.liftweb.util.TimeHelpers - Service request (POST) /api/reset-players returned 200, took 59 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /ranking returned 200, took 358 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.min.js returned 404, took 9 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.css returned 404, took 10 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /game returned 200, took 66 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.css returned 404, took 5 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.min.js returned 404, took 6 Milliseconds
net.liftweb.util.TimeHelpers - Service request (POST) /api/game returned 200, took 16266 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /ranking returned 200, took 56 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.css returned 404, took 5 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.min.js returned 404, took 5 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /game returned 200, took 44 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.min.js returned 404, took 5 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.css returned 404, took 5 Milliseconds
net.liftweb.util.TimeHelpers - Service request (POST) /api/game returned 200, took 6151 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /ranking returned 200, took 50 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.css returned 404, took 4 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.min.js returned 404, took 4 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /game returned 200, took 36 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.min.js returned 404, took 4 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.css returned 404, took 4 Milliseconds
net.liftweb.util.TimeHelpers - Service request (POST) /api/game returned 200, took 18 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /ranking returned 200, took 38 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.min.js returned 404, took 4 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.css returned 404, took 5 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /api/games/55cec36fd4c67265498db20d returned 200, took 11 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /game returned 200, took 36 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.css returned 404, took 4 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.min.js returned 404, took 4 Milliseconds
net.liftweb.util.TimeHelpers - Service request (POST) /api/game returned 200, took 16 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /ranking returned 200, took 36 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.min.js returned 404, took 5 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.css returned 404, took 5 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /game returned 200, took 30 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.min.js returned 404, took 4 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.css returned 404, took 4 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /game returned 200, took 27 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.css returned 404, took 4 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.min.js returned 404, took 4 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /game returned 200, took 26 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.css returned 404, took 3 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.min.js returned 404, took 3 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /game returned 200, took 26 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.css returned 404, took 3 Milliseconds
net.liftweb.util.TimeHelpers - Service request (GET) /jquery.loadmask.min.js returned 404, took 3 Milliseconds
